id,sma,ecc,inc,raan,aop,aol,terminals,name
1,6978137,0,85,0,0,0,1,W_00_00
2,6978137,0,85,0,0,7.2,6,W_00_01
3,6978137,0,85,0,0,14.4,8,W_00_02
4,6978137,0,85,0,0,21.6,6,W_00_03
5,6978137,0,85,0,0,28.8,4,W_00_04
6,6978137,0,85,0,0,36,9,W_00_05
7,6978137,0,85,0,0,43.2,3,W_00_06
8,6978137,0,85,0,0,50.4,1,W_00_07
9,6978137,0,85,0,0,57.6,8,W_00_08
10,6978137,0,85,0,0,64.8,1,W_00_09
11,6978137,0,85,0,0,72,3,W_00_10
12,6978137,0,85,0,0,79.2,4,W_00_11
13,6978137,0,85,0,0,86.4,6,W_00_12
14,6978137,0,85,0,0,93.6,8,W_00_13
15,6978137,0,85,0,0,100.8,6,W_00_14
16,6978137,0,85,0,0,108,8,W_00_15
17,6978137,0,85,0,0,115.2,7,W_00_16
18,6978137,0,85,0,0,122.4,4,W_00_17
19,6978137,0,85,0,0,129.6,6,W_00_18
20,6978137,0,85,0,0,136.8,9,W_00_19
21,6978137,0,85,0,0,144,6,W_00_20
22,6978137,0,85,0,0,151.2,0,W_00_21
23,6978137,0,85,0,0,158.4,7,W_00_22
24,6978137,0,85,0,0,165.6,2,W_00_23
25,6978137,0,85,0,0,172.8,4,W_00_24
26,6978137,0,85,0,0,180,2,W_00_25
27,6978137,0,85,0,0,187.2,7,W_00_26
28,6978137,0,85,0,0,194.4,3,W_00_27
29,6978137,0,85,0,0,201.6,5,W_00_28
30,6978137,0,85,0,0,208.8,1,W_00_29
31,6978137,0,85,0,0,216,5,W_00_30
32,6978137,0,85,0,0,223.2,3,W_00_31
33,6978137,0,85,0,0,230.4,3,W_00_32
34,6978137,0,85,0,0,237.6,1,W_00_33
35,6978137,0,85,0,0,244.8,1,W_00_34
36,6978137,0,85,0,0,252,5,W_00_35
37,6978137,0,85,0,0,259.2,1,W_00_36
38,6978137,0,85,0,0,266.4,0,W_00_37
39,6978137,0,85,0,0,273.6,8,W_00_38
40,6978137,0,85,0,0,280.8,7,W_00_39
41,6978137,0,85,0,0,288,0,W_00_40
42,6978137,0,85,0,0,295.2,9,W_00_41
43,6978137,0,85,0,0,302.4,8,W_00_42
44,6978137,0,85,0,0,309.6,6,W_00_43
45,6978137,0,85,0,0,316.8,3,W_00_44
46,6978137,0,85,0,0,324,0,W_00_45
47,6978137,0,85,0,0,331.2,2,W_00_46
48,6978137,0,85,0,0,338.4,8,W_00_47
49,6978137,0,85,0,0,345.6,2,W_00_48
50,6978137,0,85,0,0,352.8,5,W_00_49
51,6978137,0,85,3.6,0,7.2,9,W_01_00
52,6978137,0,85,3.6,0,14.4,0,W_01_01
53,6978137,0,85,3.6,0,21.6,1,W_01_02
54,6978137,0,85,3.6,0,28.8,2,W_01_03
55,6978137,0,85,3.6,0,36,6,W_01_04
56,6978137,0,85,3.6,0,43.2,0,W_01_05
57,6978137,0,85,3.6,0,50.4,1,W_01_06
58,6978137,0,85,3.6,0,57.6,5,W_01_07
59,6978137,0,85,3.6,0,64.8,2,W_01_08
60,6978137,0,85,3.6,0,72,3,W_01_09
61,6978137,0,85,3.6,0,79.2,1,W_01_10
62,6978137,0,85,3.6,0,86.4,9,W_01_11
63,6978137,0,85,3.6,0,93.6,8,W_01_12
64,6978137,0,85,3.6,0,100.8,7,W_01_13
65,6978137,0,85,3.6,0,108,1,W_01_14
66,6978137,0,85,3.6,0,115.2,1,W_01_15
67,6978137,0,85,3.6,0,122.4,4,W_01_16
68,6978137,0,85,3.6,0,129.6,0,W_01_17
69,6978137,0,85,3.6,0,136.8,3,W_01_18
70,6978137,0,85,3.6,0,144,1,W_01_19
71,6978137,0,85,3.6,0,151.2,8,W_01_20
72,6978137,0,85,3.6,0,158.4,3,W_01_21
73,6978137,0,85,3.6,0,165.6,2,W_01_22
74,6978137,0,85,3.6,0,172.8,9,W_01_23
75,6978137,0,85,3.6,0,180,5,W_01_24
76,6978137,0,85,3.6,0,187.2,8,W_01_25
77,6978137,0,85,3.6,0,194.4,7,W_01_26
78,6978137,0,85,3.6,0,201.6,4,W_01_27
79,6978137,0,85,3.6,0,208.8,6,W_01_28
80,6978137,0,85,3.6,0,216,1,W_01_29
81,6978137,0,85,3.6,0,223.2,3,W_01_30
82,6978137,0,85,3.6,0,230.4,2,W_01_31
83,6978137,0,85,3.6,0,237.6,2,W_01_32
84,6978137,0,85,3.6,0,244.8,3,W_01_33
85,6978137,0,85,3.6,0,252,3,W_01_34
86,6978137,0,85,3.6,0,259.2,8,W_01_35
87,6978137,0,85,3.6,0,266.4,4,W_01_36
88,6978137,0,85,3.6,0,273.6,6,W_01_37
89,6978137,0,85,3.6,0,280.8,9,W_01_38
90,6978137,0,85,3.6,0,288,7,W_01_39
91,6978137,0,85,3.6,0,295.2,1,W_01_40
92,6978137,0,85,3.6,0,302.4,0,W_01_41
93,6978137,0,85,3.6,0,309.6,6,W_01_42
94,6978137,0,85,3.6,0,316.8,7,W_01_43
95,6978137,0,85,3.6,0,324,7,W_01_44
96,6978137,0,85,3.6,0,331.2,4,W_01_45
97,6978137,0,85,3.6,0,338.4,8,W_01_46
98,6978137,0,85,3.6,0,345.6,4,W_01_47
99,6978137,0,85,3.6,0,352.8,5,W_01_48
100,6978137,0,85,3.6,0,0,5,W_01_49
101,6978137,0,85,7.2,0,14.4,6,W_02_00
102,6978137,0,85,7.2,0,21.6,0,W_02_01
103,6978137,0,85,7.2,0,28.8,8,W_02_02
104,6978137,0,85,7.2,0,36,7,W_02_03
105,6978137,0,85,7.2,0,43.2,8,W_02_04
106,6978137,0,85,7.2,0,50.4,2,W_02_05
107,6978137,0,85,7.2,0,57.6,0,W_02_06
108,6978137,0,85,7.2,0,64.8,5,W_02_07
109,6978137,0,85,7.2,0,72,9,W_02_08
110,6978137,0,85,7.2,0,79.2,1,W_02_09
111,6978137,0,85,7.2,0,86.4,9,W_02_10
112,6978137,0,85,7.2,0,93.6,4,W_02_11
113,6978137,0,85,7.2,0,100.8,7,W_02_12
114,6978137,0,85,7.2,0,108,2,W_02_13
115,6978137,0,85,7.2,0,115.2,5,W_02_14
116,6978137,0,85,7.2,0,122.4,2,W_02_15
117,6978137,0,85,7.2,0,129.6,4,W_02_16
118,6978137,0,85,7.2,0,136.8,2,W_02_17
119,6978137,0,85,7.2,0,144,1,W_02_18
120,6978137,0,85,7.2,0,151.2,7,W_02_19
121,6978137,0,85,7.2,0,158.4,6,W_02_20
122,6978137,0,85,7.2,0,165.6,5,W_02_21
123,6978137,0,85,7.2,0,172.8,1,W_02_22
124,6978137,0,85,7.2,0,180,2,W_02_23
125,6978137,0,85,7.2,0,187.2,7,W_02_24
126,6978137,0,85,7.2,0,194.4,3,W_02_25
127,6978137,0,85,7.2,0,201.6,8,W_02_26
128,6978137,0,85,7.2,0,208.8,4,W_02_27
129,6978137,0,85,7.2,0,216,5,W_02_28
130,6978137,0,85,7.2,0,223.2,5,W_02_29
131,6978137,0,85,7.2,0,230.4,4,W_02_30
132,6978137,0,85,7.2,0,237.6,0,W_02_31
133,6978137,0,85,7.2,0,244.8,3,W_02_32
134,6978137,0,85,7.2,0,252,5,W_02_33
135,6978137,0,85,7.2,0,259.2,3,W_02_34
136,6978137,0,85,7.2,0,266.4,1,W_02_35
137,6978137,0,85,7.2,0,273.6,3,W_02_36
138,6978137,0,85,7.2,0,280.8,1,W_02_37
139,6978137,0,85,7.2,0,288,0,W_02_38
140,6978137,0,85,7.2,0,295.2,8,W_02_39
141,6978137,0,85,7.2,0,302.4,0,W_02_40
142,6978137,0,85,7.2,0,309.6,7,W_02_41
143,6978137,0,85,7.2,0,316.8,7,W_02_42
144,6978137,0,85,7.2,0,324,7,W_02_43
145,6978137,0,85,7.2,0,331.2,0,W_02_44
146,6978137,0,85,7.2,0,338.4,5,W_02_45
147,6978137,0,85,7.2,0,345.6,2,W_02_46
148,6978137,0,85,7.2,0,352.8,9,W_02_47
149,6978137,0,85,7.2,0,0,2,W_02_48
150,6978137,0,85,7.2,0,7.19999999999999,3,W_02_49
151,6978137,0,85,10.8,0,21.6,1,W_03_00
152,6978137,0,85,10.8,0,28.8,0,W_03_01
153,6978137,0,85,10.8,0,36,5,W_03_02
154,6978137,0,85,10.8,0,43.2,0,W_03_03
155,6978137,0,85,10.8,0,50.4,8,W_03_04
156,6978137,0,85,10.8,0,57.6,6,W_03_05
157,6978137,0,85,10.8,0,64.8,9,W_03_06
158,6978137,0,85,10.8,0,72,0,W_03_07
159,6978137,0,85,10.8,0,79.2,2,W_03_08
160,6978137,0,85,10.8,0,86.4,2,W_03_09
161,6978137,0,85,10.8,0,93.6,9,W_03_10
162,6978137,0,85,10.8,0,100.8,0,W_03_11
163,6978137,0,85,10.8,0,108,1,W_03_12
164,6978137,0,85,10.8,0,115.2,0,W_03_13
165,6978137,0,85,10.8,0,122.4,9,W_03_14
166,6978137,0,85,10.8,0,129.6,1,W_03_15
167,6978137,0,85,10.8,0,136.8,1,W_03_16
168,6978137,0,85,10.8,0,144,3,W_03_17
